Submission ID,cup_assumptions,spent_assumptions
oAV8VN,1,1.0
VZ1Wxg,2,1.6666666666666667
24x9Oe,2,1.6666666666666667
KMBrO8,1,1.0
WApa1v,1,1.0
bl41gL,1,0.3333333333333333
EPbovB,1,2.3333333333333335
ylq8e8,3,1.0
24x9ZL,2,5.0
MAdjGM,2,1.0
24x9Zj,1,1.0
rlr8kR,2,1.6666666666666667
g5N8pl,2,1.6666666666666667
rlr8qN,3,1.0
ylq87g,1,1.0
GrBO7Z,3,5.0
NAB2Rj,1,1.0
RzBqkj,2,1.6666666666666667
xdN86r,1,1.0
9dJArQ,1,5.0
EPboa4,2,3.0
WApaQN,1,1.0
42NlN5,1,1.0
AlbM50,2,1.6666666666666667
QABNap,2,0.3333333333333333
dY2Jkd,1,1.6666666666666667
RzBqr9,1,1.6666666666666667
lNl89W,3,3.0
PABZGB,1,3.0
RzBqjj,1,1.6666666666666667
LdM4ov,1,1.0
GrBO5k,2,1.6666666666666667
ZdRbWo,2,3.0
AlbMQD,1,1.0
42NlqX,1,1.0
24x9D9,3,1.0
QABNE7,5,3.0
6dQ6QN,2,1.6666666666666667
KMBrkV,1,1.0
g5N8NJ,2,1.6666666666666667
aBrpab,0,1.0
bl41vZ,2,0.3333333333333333
qbE8NG,2,5.0
eBxgoe,2,1.0
aBrpkB,2,2.3333333333333335
vNx8g0,1,1.0
NAB2Ol,1,2.3333333333333335
GrBObk,2,1.0
kYR8x1,1,5.0
g5N8z4,2,1.0
lNl8zv,2,1.6666666666666667
jB98z4,2,1.0
RzBqVj,1,1.6666666666666667
BGbJ6Q,2,5.0
QABN8Y,3,2.3333333333333335
24x9o9,1,1.6666666666666667
BGbJ9Q,2,1.0
PABZrV,2,1.0
lNl84k,2,5.0
rlr8YR,3,3.0
zKQ8L0,1,1.6666666666666667
NAB2El,2,3.0
9dJAMV,3,2.3333333333333335
YZz79J,2,1.6666666666666667
5dqaod,2,1.6666666666666667
GrBOgp,1,5.0
dY2Jgo,3,1.6666666666666667
AlbMAe,2,1.0
XeB6d4,5,5.0
QABNX8,1,1.0
1r2QBp,2,1.6666666666666667
VZ1WY6,2,1.6666666666666667
6dQ6MJ,1,1.6666666666666667
oAV8vx,2,1.0
oAV8gP,1,1.6666666666666667
EPboJ2,1,2.3333333333333335
MAdjVA,1,1.6666666666666667
EPboEX,3,1.0
6dQ64k,3,1.6666666666666667
NAB240,3,1.0
OABxEg,2,3.0
NAB2gB,2,1.6666666666666667
vNx8vQ,1,1.0
qbE8k9,2,1.6666666666666667
qbE8v9,1,1.0
jB98Yx,0,0.3333333333333333
rlr8gN,1,3.0
XeB6Ng,2,1.0
OABx97,3,1.6666666666666667
42NlEX,1,1.6666666666666667
LdM4al,2,1.0
ZdRbDB,1,1.0
6dQ6Vk,2,1.6666666666666667
8dpbVx,1,1.0
1r2Q6l,3,0.3333333333333333
7d97MR,0,1.0
ylq8GB,1,0.3333333333333333
kYR8p1,2,2.3333333333333335
8dpbgx,2,1.6666666666666667
VZ1Wqg,2,1.0
WApaBa,2,1.6666666666666667
dY2J1q,2,1.0
vNx8W0,1,1.6666666666666667
5dqaOo,2,2.3333333333333335
QABNWp,0,0.3333333333333333
ZdRbQo,1,1.6666666666666667
NAB2yB,2,5.0
oAV81e,2,1.6666666666666667
PABZYx,2,1.0
PABZWb,1,1.0
XeB6v4,5,1.0
9dJAxQ,2,1.6666666666666667
DVvRE5,2,1.6666666666666667
lNl87X,1,1.0
eBxgye,1,1.0
aBrpgq,1,1.0
OABxrR,3,1.6666666666666667
1r2QxQ,1,1.6666666666666667
AlbM9z,3,1.6666666666666667
8dpbWO,1,1.6666666666666667
7d97zA,1,1.0
24x9zV,2,0.3333333333333333
rlr8YN,2,1.6666666666666667
xdN80d,2,1.6666666666666667
1r2QgW,3,1.0
EPbo64,2,2.3333333333333335
qbE877,3,1.6666666666666667
KMBrGV,2,1.6666666666666667
6dQ6WY,2,5.0
EPboA4,1,0.3333333333333333
PABZy5,1,1.0
ZdRbgz,1,1.0
EPbo6r,1,1.6666666666666667
6dQ6zB,2,1.6666666666666667
LdM4Ey,3,1.6666666666666667
ylq8gg,1,1.0
42NlOY,2,1.0
MAdjPM,2,2.3333333333333335
8dpb5O,4,2.3333333333333335
